customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7960-RUUNO,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.55,734.68,Yes
2503-NZSRB,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,104.09,1321.28,Yes
2298-XSYBN,Female,1,Yes,No,7,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.11,299.79,No
7945-YTXMP,Male,0,Yes,No,23,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,35.87,757.29,Yes
2201-ZMHFL,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.57,1512.8,Yes
9073-URPES,Female,1,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,22.31,1081.98,No
3204-LAWDQ,Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.2,5659.88,Yes
7819-VKTLD,Female,0,Yes,No,25,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,23.47,572.14,No
7972-WOKBC,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.45,201.33,Yes
8846-USBCR,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,18.41,1078.32,No
2611-OJJUB,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,18.73,221.57,No
5882-PFROC,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.59,6203.83,No
4589-GNISF,Male,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.03,4737.79,No
5630-DCJYC,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,85.82,3289.09,Yes
3818-GWIXV,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,41.54,1232.19,No
8252-YVGGT,Female,0,No,No,49,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.56,4408.08,No
2661-YIRFT,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,49.56,711.62,Yes
3844-AFKIZ,Male,0,No,Yes,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),68.21,4915.84,Yes
4208-DCAQB,Female,1,Yes,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,104.93,5276.15,No
7972-LJWHO,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.75,348.26,No
4862-ERCVT,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),104.2,3862.37,No
9992-APCKK,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),51.57,3638.53,No
6837-CPNPT,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),42.94,2936.06,Yes
8571-LKAFK,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,103.56,2010.26,No
3339-LPGNB,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,88.1,1298.48,Yes
5678-HFUEK,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),48.0,3164.6,No
5735-XCVIE,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.28,5592.29,No
3878-FKNIS,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,109.05,1364.85,Yes
2928-JNAIF,Female,1,No,Yes,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),105.73,6716.53,No
4671-IOSTP,Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,99.28,5924.16,Yes
3513-EMNYN,Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),118.42,3705.03,No
1480-NQAED,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,35.22,431.59,No
5720-TQPSF,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,93.57,3685.72,No
9997-SNDRI,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,47.84,3135.28,Yes
7637-QOUSA,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),111.9,896.49,Yes
7255-MSFDJ,Female,1,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,26.34,1577.38,Yes
6766-BBLVW,Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),85.35,2055.16,Yes
4543-XSYWE,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,38.55,171.54,No
9871-CVVOI,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.8,5186.85,Yes
2837-SWSOL,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),70.47,74.43,No
7836-MILES,Male,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),71.83,2910.49,Yes
3507-ERYPO,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,71.25,2702.33,Yes
5849-QSNOB,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.51,205.78,No
8572-FCSBV,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,115.88,5239.19,No
3301-HPZDF,Male,0,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),114.79,2377.27,No
8551-EZYAU,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,41.7,1355.45,No
8304-IIKNT,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,74.4,2361.48,No
6276-BYDOT,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,73.11,1110.6,No
4703-VHTCU,Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,30.77,1713.51,No
7658-JVKQH,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,88.31,149.44,Yes
6346-VIGTB,Female,1,Yes,No,69,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),94.54,6483.66,No
6494-GMENH,Female,0,No,No,48,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,105.62,5073.95,No
2131-IQRZI,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,92.17,4920.61,No
5336-JCRGK,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.18,879.71,No
5119-QPKUO,Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),110.61,2194.37,No
3389-WZMNR,Female,1,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,39.45,620.85,No
7258-IPWBM,Male,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,79.51,1336.2,Yes
7885-RWAYX,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.06,0.0,No
3156-JLYYZ,Female,1,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.53,2489.26,No
7623-SHBDM,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,52.75,3429.3,No
6252-PFIPF,Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,48.38,3134.7,No
6583-WZHPC,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,89.58,3124.63,No
4814-AZIDT,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,81.06,1908.99,No
4900-QHYUM,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,60.7,3675.92,No
7951-TTBYJ,Male,1,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,34.87,674.0,Yes
9730-TLOWN,Female,0,Yes,Yes,36,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,92.52,3289.47,No
6118-EOFMP,Male,0,No,Yes,34,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,112.61,3733.09,Yes
2380-HJFSU,Male,1,Yes,No,37,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),76.24,2824.04,Yes
6332-QUGPD,Female,0,Yes,No,52,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,109.91,5725.34,No
5690-QVSQU,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,99.76,1404.58,Yes
4274-PJSAB,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),113.74,4729.78,No
9159-PPTXJ,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.35,39.18,No
6003-HTICW,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.78,3169.63,Yes
3109-HOTTV,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),41.21,936.22,No
7526-TRSPQ,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.41,1267.76,No
3672-LEFNC,Female,1,Yes,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),117.16,1279.82,No
2842-TULXM,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),50.57,3506.73,No
1072-IEQLX,Female,0,No,No,53,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),24.84,1340.11,No
7710-ZWGJD,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),116.07,4251.92,No
6387-QZHNR,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,21.38,576.93,No
1354-GFBBA,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,54.85,955.71,No
4697-VUDLD,Male,0,No,No,68,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.5,5061.37,No
3568-NTEOK,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),96.83,6060.71,No
2977-CXGOF,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,40.01,123.87,No
8181-QXFRK,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.68,185.87,No
3930-YVXQY,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),88.29,988.63,No
7310-MXOFY,Female,0,Yes,Yes,68,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,28.01,1833.8,No
8076-FLEIW,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,42.76,207.97,No
8656-OKLCS,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,45.16,1982.44,Yes
7186-KSHEE,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),102.45,2295.21,Yes
7460-ZRLBM,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.49,150.95,Yes
1420-OAQPD,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),63.64,2255.78,No
3506-CWIUT,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.83,1260.2,No
8010-KBRHX,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.32,1275.95,Yes
6792-JAGFW,Female,0,No,Yes,43,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),89.87,3838.71,No
8516-BJKLD,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),116.4,8084.9,No
2925-JSKBQ,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),66.77,3358.29,No
1596-MUXEL,Female,1,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.22,2249.55,Yes
2097-JRKTU,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),50.55,1922.32,No
2091-SASPR,Female,0,Yes,No,57,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.23,5747.96,No
4462-NQQHL,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,72.55,322.16,No
8574-YWZZZ,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),56.05,1767.93,No
9083-HGSUB,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.96,1208.08,Yes
7827-JYFKG,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),107.88,1906.47,No
1304-TIETC,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.79,3054.04,No
9613-QOQIJ,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.08,112.24,No
2993-FUEAJ,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),106.2,0.0,No
9159-QELBV,Female,0,No,No,40,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,74.26,2991.25,No
1136-QVNTI,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,95.69,4417.28,No
9932-SMUMD,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,83.7,3251.75,No
7564-LARNT,Female,1,Yes,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.3,76.71,No
8772-DKGQE,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),43.25,417.6,No
6957-BUYBD,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.74,1246.55,No
4069-CMLTI,Male,0,Yes,No,63,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,29.47,1862.23,No
8438-UAKGD,Male,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.71,665.62,Yes
6775-MGYPO,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),21.87,1123.34,No
5404-LYPAX,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,107.05,5773.72,No
3694-SGQJV,Male,0,Yes,Yes,52,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,22.59,1216.72,Yes
3898-PXZKN,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,73.36,1479.12,Yes
9471-IXIMA,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.55,1466.91,No
1641-OIEDM,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),47.68,3209.37,No
8653-ZAQQG,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,18.46,1350.99,Yes
6293-KLWGS,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,73.92,4838.69,No
7066-ZMUDB,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.98,3785.22,No
9326-NWHNQ,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),37.03,1752.27,No
2317-FDFXE,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,27.51,1621.26,Yes
2213-VOGOU,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.43,2112.79,Yes
3908-BKKGW,Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.85,26.01,Yes
1964-KXKHU,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.96,3307.58,No
6020-POYQX,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,97.43,5413.18,No
5108-QCLEE,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),110.25,6763.36,Yes
2701-EIKVU,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,58.3,968.07,No
8987-YWXKH,Male,0,Yes,No,60,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),65.07,3905.48,No
2821-QWIHX,Male,0,Yes,Yes,36,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,89.66,3191.26,No
9817-HFIUR,Male,1,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,33.64,1839.42,No
7689-OVAGI,Male,0,No,No,64,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),102.64,6542.42,No
1977-WXWMY,Male,1,Yes,No,13,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,45.59,483.76,No
9423-HENNR,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,60.08,178.13,No
2104-YLFGW,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.56,6852.67,No
5317-QVMKS,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,115.75,0.0,Yes
9587-UXMUG,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.81,3932.12,No
9413-VSYPR,Female,0,Yes,No,66,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,45.27,3074.73,No
3843-ICKHP,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,32.03,636.7,No
7265-WQFJE,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),33.88,1354.9,No
6686-GSJEI,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,69.53,2853.83,No
3954-HFGZA,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.17,5908.57,Yes
5575-SEJOZ,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.72,1984.26,Yes
4530-MCFSP,Male,1,No,No,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,42.27,2623.0,No
9281-CJZWS,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,18.56,865.61,No
9091-ZXQDV,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.44,226.63,Yes
6602-JNAQY,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),81.54,3329.39,Yes
9969-UGFFD,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),92.72,5318.68,Yes
2160-BNGOW,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),100.13,4187.0,Yes
