customerID,churn_prob,risk_tier,intervention,tenure,contract_enc,MonthlyCharges,service_depth,high_risk_combo,ltv_proxy
7888-NACZP,0.8907,Critical,Offer annual contract upgrade + discount,51,0,106.38,5,0,5425.38
5398-CFHKX,0.8905,Critical,Offer annual contract upgrade + discount,10,0,73.34,2,0,733.4000000000001
8312-CYYYB,0.8902,Critical,Offer annual contract upgrade + discount,13,0,28.96,6,1,376.48
1247-IXUZF,0.8901,Critical,Offer annual contract upgrade + discount,6,0,23.92,5,1,143.52
9736-RMSRM,0.8898,Critical,Offer annual contract upgrade + discount,1,0,56.42,6,1,56.42
7343-MGUXC,0.8893,Critical,Offer annual contract upgrade + discount,49,0,91.19,4,1,4468.3099999999995
4878-GRDAX,0.8891,Critical,Offer annual contract upgrade + discount,57,0,75.75,4,1,4317.75
6474-VEALK,0.889,Critical,Offer annual contract upgrade + discount,18,0,109.06,5,1,1963.08
6579-FYRQR,0.889,Critical,Offer annual contract upgrade + discount,53,0,22.48,6,1,1191.44
3010-BQGML,0.8889,Critical,Offer annual contract upgrade + discount,62,0,33.16,2,1,2055.9199999999996
3101-WCBSA,0.8883,Critical,Offer annual contract upgrade + discount,71,0,82.9,6,1,5885.900000000001
7746-ZKNTM,0.8883,Critical,Offer annual contract upgrade + discount,1,0,45.57,3,0,45.57
7205-GGJET,0.8883,Critical,Offer annual contract upgrade + discount,71,0,67.51,0,0,4793.21
4549-QYVRL,0.8881,Critical,Offer annual contract upgrade + discount,70,0,19.83,5,0,1388.1
2480-IQMXI,0.8878,Critical,Offer annual contract upgrade + discount,9,0,47.59,5,1,428.31000000000006
7124-VTLPE,0.8877,Critical,Offer annual contract upgrade + discount,28,0,117.75,4,0,3297.0
5546-WAKKQ,0.8876,Critical,Offer annual contract upgrade + discount,0,0,43.05,4,0,0.0
1207-VOJFA,0.8874,Critical,Offer annual contract upgrade + discount,2,0,51.62,4,0,103.24
2156-ZQSMB,0.8867,Critical,Offer annual contract upgrade + discount,9,0,74.21,5,1,667.89
8497-IVQQJ,0.8862,Critical,Offer annual contract upgrade + discount,21,0,117.14,3,0,2459.94
5375-ZOYTC,0.8859,Critical,Offer annual contract upgrade + discount,31,0,110.77,6,1,3433.87
1585-EVXZX,0.8858,Critical,Offer annual contract upgrade + discount,1,0,57.86,3,0,57.86
4494-FVVZX,0.8857,Critical,Offer annual contract upgrade + discount,23,0,50.63,4,1,1164.49
6982-WWQHX,0.8854,Critical,Offer annual contract upgrade + discount,2,0,38.23,5,1,76.46
9753-MBOJC,0.8849,Critical,Offer annual contract upgrade + discount,13,0,65.88,4,1,856.4399999999999
5522-MLILF,0.8844,Critical,Bundle security add-on — proactive outreach,30,1,115.48,5,0,3464.4
9357-GAXIS,0.884,Critical,Offer annual contract upgrade + discount,32,0,114.53,2,0,3664.96
6341-UYYPI,0.8837,Critical,Offer annual contract upgrade + discount,5,0,43.02,7,1,215.10000000000002
4604-BDMUE,0.8836,Critical,Offer annual contract upgrade + discount,64,0,47.29,8,1,3026.56
8910-AUKWV,0.8836,Critical,Offer annual contract upgrade + discount,14,0,112.02,5,0,1568.28
9777-FOAXS,0.8835,Critical,Offer annual contract upgrade + discount,51,0,30.89,4,1,1575.39
8247-DRKCG,0.8832,Critical,Offer annual contract upgrade + discount,20,0,38.99,1,0,779.8000000000001
6489-AHUGG,0.883,Critical,Offer annual contract upgrade + discount,5,0,77.98,5,1,389.90000000000003
7575-MUJLH,0.883,Critical,Offer annual contract upgrade + discount,14,0,85.87,5,1,1202.18
3912-PJRBO,0.883,Critical,Offer annual contract upgrade + discount,60,0,115.82,5,1,6949.2
8653-ZAQQG,0.8829,Critical,Bundle security add-on — proactive outreach,71,2,18.46,5,0,1310.66
4563-VMNLW,0.8827,Critical,Bundle security add-on — proactive outreach,23,2,27.3,6,0,627.9
5257-MWLKX,0.8822,Critical,Offer annual contract upgrade + discount,69,0,117.75,5,0,8124.75
7108-NEJDJ,0.8817,Critical,Offer annual contract upgrade + discount,53,0,47.36,5,1,2510.08
3431-OXYON,0.8815,Critical,Offer annual contract upgrade + discount,2,0,22.25,4,0,44.5
3783-FFMNF,0.8813,Critical,Offer annual contract upgrade + discount,11,0,55.39,3,1,609.29
9443-TAHZQ,0.8811,Critical,Offer annual contract upgrade + discount,5,0,112.64,7,1,563.2
8717-JLGZP,0.8811,Critical,Offer annual contract upgrade + discount,13,0,46.52,6,1,604.76
2552-NCIXJ,0.8809,Critical,Offer annual contract upgrade + discount,59,0,48.42,5,1,2856.78
7898-SRKWY,0.8809,Critical,Offer annual contract upgrade + discount,6,0,22.6,2,0,135.60000000000002
7219-KTBGX,0.8804,Critical,Offer annual contract upgrade + discount,17,0,48.6,5,1,826.2
7454-ILUKP,0.88,Critical,Offer annual contract upgrade + discount,2,0,40.29,4,1,80.58
9738-BFSHP,0.8799,Critical,Offer annual contract upgrade + discount,51,0,85.95,4,1,4383.45
6925-ZEMKG,0.8797,Critical,Offer annual contract upgrade + discount,42,0,93.06,5,1,3908.52
9439-WRYLB,0.8793,Critical,Offer annual contract upgrade + discount,1,0,36.32,2,0,36.32
1694-EEDQI,0.8792,Critical,Offer annual contract upgrade + discount,61,0,85.73,4,1,5229.530000000001
5931-JZHXT,0.8789,Critical,Offer annual contract upgrade + discount,38,0,102.8,3,1,3906.4
4228-GZXYX,0.8786,Critical,Offer annual contract upgrade + discount,7,0,85.23,7,1,596.61
9160-ZZRQQ,0.8782,Critical,Offer annual contract upgrade + discount,19,0,87.06,5,0,1654.14
2789-YPYKY,0.8778,Critical,Offer annual contract upgrade + discount,53,0,86.53,5,1,4586.09
1266-AMXVB,0.8773,Critical,Offer annual contract upgrade + discount,1,0,58.49,4,0,58.49
2842-KYIZE,0.8772,Critical,Offer annual contract upgrade + discount,2,0,22.06,7,0,44.12
6217-VQIQI,0.8771,Critical,Offer annual contract upgrade + discount,4,0,47.56,4,0,190.24
3204-YMAKR,0.8771,Critical,Offer annual contract upgrade + discount,55,0,47.61,5,1,2618.55
7520-FAAEP,0.8771,Critical,Offer annual contract upgrade + discount,57,0,44.69,4,1,2547.33
3830-VRLSA,0.8771,Critical,Offer annual contract upgrade + discount,5,0,49.18,6,1,245.9
5674-KJJBN,0.8769,Critical,Offer annual contract upgrade + discount,36,0,20.27,2,0,729.72
8067-BYBHT,0.8769,Critical,Bundle security add-on — proactive outreach,47,1,22.98,5,0,1080.06
4626-HCCPE,0.8768,Critical,Offer annual contract upgrade + discount,16,0,40.22,5,1,643.52
3414-BCUDI,0.8764,Critical,Offer annual contract upgrade + discount,65,0,46.82,5,1,3043.3
1505-UPIUF,0.8764,Critical,Offer annual contract upgrade + discount,34,0,59.48,4,1,2022.32
9930-TJLEB,0.8763,Critical,Offer annual contract upgrade + discount,55,0,118.11,4,1,6496.05
8120-WEJZN,0.8761,Critical,Onboarding check-in call,1,1,41.19,5,0,41.19
8324-SESWP,0.876,Critical,Bundle security add-on — proactive outreach,40,1,28.52,3,0,1140.8
6993-ECGIF,0.8754,Critical,Offer annual contract upgrade + discount,8,0,41.7,1,0,333.6
3896-OFDTC,0.8753,Critical,Offer annual contract upgrade + discount,32,0,19.71,5,0,630.72
9857-WZAXL,0.8753,Critical,Offer annual contract upgrade + discount,33,0,83.86,4,1,2767.38
4473-VHKAP,0.8747,Critical,Bundle security add-on — proactive outreach,4,1,95.7,6,0,382.8
7241-OKXCW,0.8746,Critical,Offer annual contract upgrade + discount,13,0,53.98,5,1,701.74
8966-ARODQ,0.8746,Critical,Offer annual contract upgrade + discount,28,0,76.26,5,1,2135.28
8625-LSANE,0.8745,Critical,Offer annual contract upgrade + discount,16,0,101.44,3,0,1623.04
8070-CZJRO,0.8744,Critical,Offer annual contract upgrade + discount,71,0,54.41,4,0,3863.1099999999997
7249-FCCPU,0.8743,Critical,Offer annual contract upgrade + discount,26,0,101.14,4,1,2629.64
8317-ZMXKO,0.8742,Critical,Onboarding check-in call,9,1,27.35,5,0,246.15
4122-GPENP,0.8742,Critical,Offer annual contract upgrade + discount,1,0,45.7,5,0,45.7
8235-XAUYV,0.874,Critical,Loyalty reward or retention offer,58,1,20.45,4,0,1186.1
4922-PSZKV,0.8733,Critical,Offer annual contract upgrade + discount,20,0,49.12,7,1,982.4
6932-DOQHH,0.8729,Critical,Offer annual contract upgrade + discount,29,0,114.57,3,0,3322.5299999999997
7124-BKQAM,0.8729,Critical,Offer annual contract upgrade + discount,1,0,91.54,4,0,91.54
9063-IQZDS,0.8729,Critical,Offer annual contract upgrade + discount,9,0,21.49,1,0,193.41
3694-SGQJV,0.8728,Critical,Enroll in paperless billing + auto-pay,52,1,22.59,4,0,1174.68
2920-UMFKL,0.8727,Critical,Offer annual contract upgrade + discount,29,0,113.7,3,1,3297.3
6103-LDWPB,0.8722,Critical,Offer annual contract upgrade + discount,11,0,62.69,4,0,689.5899999999999
2503-NZSRB,0.872,Critical,Offer annual contract upgrade + discount,13,0,104.09,4,0,1353.17
7258-IPWBM,0.8719,Critical,Offer annual contract upgrade + discount,16,0,79.51,4,1,1272.16
5203-NAHOY,0.8718,Critical,Offer annual contract upgrade + discount,5,0,117.29,3,1,586.45
8987-LOAIG,0.8718,Critical,Offer annual contract upgrade + discount,35,0,31.72,7,1,1110.2
4529-HBBLC,0.8718,Critical,Offer annual contract upgrade + discount,25,0,20.42,6,1,510.50000000000006
5401-MWQGO,0.8715,Critical,Offer annual contract upgrade + discount,70,0,36.18,2,0,2532.6
6998-QVJPX,0.8712,Critical,Offer annual contract upgrade + discount,3,0,23.2,6,0,69.6
6169-PHTWC,0.871,Critical,Offer annual contract upgrade + discount,53,0,25.19,7,1,1335.0700000000002
3143-WFLNI,0.8708,Critical,Offer annual contract upgrade + discount,8,0,110.18,4,1,881.44
3425-PPMUJ,0.8708,Critical,Offer annual contract upgrade + discount,70,0,112.5,7,1,7875.0
7853-QAFYJ,0.8708,Critical,Offer annual contract upgrade + discount,28,0,93.2,6,1,2609.6
2672-OQKIJ,0.8707,Critical,Offer annual contract upgrade + discount,37,0,88.35,6,1,3268.95
2184-OUWCV,0.8707,Critical,Offer annual contract upgrade + discount,5,0,89.29,6,1,446.45000000000005
9696-THUOS,0.8705,Critical,Onboarding check-in call,9,1,22.73,3,0,204.57
9844-TUOVE,0.8705,Critical,Offer annual contract upgrade + discount,72,0,74.45,1,0,5360.400000000001
7627-OASMV,0.8704,Critical,Offer annual contract upgrade + discount,2,0,110.85,6,1,221.7
8779-BLCAC,0.8704,Critical,Offer annual contract upgrade + discount,1,0,32.39,4,1,32.39
8990-JCWJJ,0.8701,Critical,Offer annual contract upgrade + discount,47,0,99.41,5,1,4672.2699999999995
4563-GMMWF,0.8701,Critical,Offer annual contract upgrade + discount,36,0,22.27,3,0,801.72
2058-EYQPL,0.8701,Critical,Offer annual contract upgrade + discount,29,0,85.32,5,1,2474.2799999999997
7941-VWDBJ,0.8695,Critical,Offer annual contract upgrade + discount,27,0,84.44,4,1,2279.88
1003-LJJVE,0.8694,Critical,Offer annual contract upgrade + discount,54,0,110.62,7,1,5973.4800000000005
8965-JRJGD,0.8692,Critical,Offer annual contract upgrade + discount,60,0,87.68,5,1,5260.8
6664-TWHCD,0.8689,Critical,Offer annual contract upgrade + discount,2,0,74.36,4,0,148.72
1557-QWSVN,0.8688,Critical,Bundle security add-on — proactive outreach,70,2,102.37,7,0,7165.900000000001
3097-YJLBA,0.8688,Critical,Offer annual contract upgrade + discount,30,0,97.92,8,0,2937.6
9461-YBJLT,0.8685,Critical,Offer annual contract upgrade + discount,3,0,115.6,2,0,346.79999999999995
4156-GLRZF,0.8683,Critical,Offer annual contract upgrade + discount,19,0,54.13,5,1,1028.47
6714-IXEZC,0.8681,Critical,Offer annual contract upgrade + discount,6,0,28.28,0,0,169.68
3121-LOMPX,0.8681,Critical,Offer annual contract upgrade + discount,37,0,84.49,3,1,3126.1299999999997
7020-JAHGG,0.8677,Critical,Offer annual contract upgrade + discount,72,0,69.5,5,0,5004.0
4743-MTLON,0.8672,Critical,Offer annual contract upgrade + discount,9,0,24.49,3,0,220.41
8145-YICJA,0.8671,Critical,Offer annual contract upgrade + discount,48,0,84.32,4,1,4047.3599999999997
2515-VHDDI,0.8671,Critical,Offer annual contract upgrade + discount,64,0,88.7,2,0,5676.8
7904-FBUYE,0.867,Critical,Offer annual contract upgrade + discount,27,0,115.74,5,0,3124.98
4946-HNRLP,0.8668,Critical,Offer annual contract upgrade + discount,3,0,44.46,5,0,133.38
5260-RIGCH,0.8668,Critical,Offer annual contract upgrade + discount,5,0,38.5,7,0,192.5
5502-XBUMQ,0.8667,Critical,Offer annual contract upgrade + discount,48,0,86.83,5,1,4167.84
3656-OQBEH,0.8666,Critical,Offer annual contract upgrade + discount,63,0,52.73,4,1,3321.99
6982-SAXER,0.8665,Critical,Offer annual contract upgrade + discount,30,0,68.15,3,1,2044.5000000000002
8588-AWERW,0.8659,Critical,Offer annual contract upgrade + discount,0,0,91.49,4,1,0.0
9539-NZBRV,0.8657,Critical,Offer annual contract upgrade + discount,37,0,84.31,2,0,3119.4700000000003
4726-IBXIT,0.8657,Critical,Loyalty reward or retention offer,28,1,20.27,4,0,567.56
2681-OWNOR,0.8656,Critical,Offer annual contract upgrade + discount,10,0,31.91,6,1,319.1
4570-GZSUP,0.8654,Critical,Bundle security add-on — proactive outreach,16,1,28.37,4,0,453.92
8953-ZTBER,0.8652,Critical,Offer annual contract upgrade + discount,1,0,82.68,6,0,82.68
8061-IQMSJ,0.8649,Critical,Offer annual contract upgrade + discount,8,0,98.43,5,1,787.44
9809-MSCAH,0.8649,Critical,Offer annual contract upgrade + discount,44,0,84.23,6,1,3706.1200000000003
2777-JMUSZ,0.8649,Critical,Offer annual contract upgrade + discount,57,0,85.26,5,1,4859.820000000001
2418-ZTBXO,0.8649,Critical,Offer annual contract upgrade + discount,15,0,103.55,4,0,1553.25
4275-ZQXHC,0.8647,Critical,Offer annual contract upgrade + discount,24,0,47.1,6,1,1130.4
3476-HFBYJ,0.8645,Critical,Offer annual contract upgrade + discount,33,0,85.8,5,1,2831.4
4704-SQFZV,0.8643,Critical,Offer annual contract upgrade + discount,51,0,106.47,8,1,5429.97
1517-ISBKR,0.864,Critical,Offer annual contract upgrade + discount,43,0,22.5,5,0,967.5
2025-TAVXB,0.8639,Critical,Offer annual contract upgrade + discount,51,0,45.06,4,1,2298.06
5866-AUZIG,0.8639,Critical,Offer annual contract upgrade + discount,31,0,33.14,7,1,1027.34
